Name,Symbol,RIC,Type,NAME,COMPANY NAME,ICB INDUSTRY NAME
AZEUS SYSTEMS HDG.,T:AZEU,AZEU.SI,T:AZEU,AZEUS SYSTEMS HDG.,AZEUS SYSTEMS HOLDINGS LTD,Technology
AZTECH GLOBAL,T:AZTG,AZTE.SI,T:AZTG,AZTECH GLOBAL,AZTECH GLOBAL LTD,Industrials
BAKER TECHNOLOGY,T:YORK,BATE.SI,T:YORK,BAKER TECHNOLOGY,BAKER TECHNOLOGY LIMITED,Consumer Discretionary
BAN LEONG TECHS.,T:BANL,BANL.SI,T:BANL,BAN LEONG TECHS.,BAN LEONG TECHNOLOGIES LTD,Technology
BANYAN TREE HDG.,T:BNTR,BANY.SI,T:BNTR,BANYAN TREE HDG.,BANYAN TREE HOLDINGS LTD,Consumer Discretionary
BBR HOLDINGS (S),T:BBRC,BBRS.SI,T:BBRC,BBR HOLDINGS (S),BBR HOLDINGS (S) LIMITED,Industrials
BENG KUANG MARINE,T:BENG,BENK.SI,T:BENG,BENG KUANG MARINE,BENG KUANG MARINE LIMITED,Industrials
BEST WORLD INTL.,T:BEST,BEST.SI,T:BEST,BEST WORLD INTL. SUSP - SUSP.10/05/19,BEST WORLD INTERNATIONAL LIMITED,Consumer Discretionary
BH GLOBAL,T:BHGM,BHGC.SI,T:BHGM,BH GLOBAL,BH GLOBAL CORPORATION LTD,Industrials
BHG RETAIL REIT UNITS,T:BHGR,BHGR.SI,T:BHGR,BHG RETAIL REIT UNITS,BHG RETAIL REIT,Real Estate
BLUMONT GROUP,T:ADRO,BLUM.SI,T:ADRO,BLUMONT GROUP,BLUMONT GROUP LTD,Industrials
BONVESTS HOLDINGS,T:BONV,BVHS.SI,T:BONV,BONVESTS HOLDINGS,BONVESTS HOLDINGS LIMITED,Industrials
BOUSTEAD PROJECTS,T:BPRO,BOUS.SI,T:BPRO,BOUSTEAD PROJECTS,BOUSTEAD PROJECTS LTD,Industrials
BOUSTEAD SINGAPORE,T:BOUS,BTSS.SI,T:BOUS,BOUSTEAD SINGAPORE,BOUSTEAD SINGAPORE LIMITED,Industrials
BRC ASIA,T:BRCA,BRCA.SI,T:BRCA,BRC ASIA,BRC ASIA LIMITED,Basic Materials
BRITISH & MALAYAN HLDG,T:BRIT,BMHL.SI,T:BRIT,BRITISH & MALAYAN HLDG,BRITISH AND MALAYAN TRUSTEES LIMITED,Financials
BROADWAY INDUSTRIAL,T:BROD,BRWY.SI,T:BROD,BROADWAY INDUSTRIAL,BROADWAY INDUSTRIAL GROUP LIMITED,Industrials
BROOK CROMPTON HOLDINGS,T:LIND,BROO.SI,T:LIND,BROOK CROMPTON HOLDINGS,BROOK CROMPTON HOLDINGS LTD,Industrials
BUKIT SEMBAWANG ESTS.,T:BUKT,BSES.SI,T:BUKT,BUKIT SEMBAWANG ESTS.,BUKIT SEMBAWANG ESTATES LIMITED,Real Estate
BUMITAMA AGRI,T:BUMI,BUMI.SI,T:BUMI,BUMITAMA AGRI,BUMITAMA AGRI LTD,Consumer Staples
BUND CENTER INVESTMENT,T:BUND,BCIL.SI,T:BUND,BUND CENTER INVESTMENT,BUND CENTER INVESTMENT LTD,Real Estate
CAMSING HEALTHCARE,T:JACK,CAMS.SI,T:JACK,CAMSING HEALTHCARE SUSP - SUSP.01/04/19,CAMSING HEALTHCARE LTD,Consumer Discretionary
CAPITALAND CHINA TRUST,T:CRCT,CAPA.SI,T:CRCT,CAPITALAND CHINA TRUST,CAPITALAND CHINA TRUST,Real Estate
CAPITALAND INVESTMENT,T:CAP1,CAPN.SI,T:CAP1,CAPITALAND INVESTMENT,CAPITALAND INVESTMENT LTD,Real Estate
CAPTII,T:UNIF,CAPT.SI,T:UNIF,CAPTII,CAPTII LTD,Telecommunications
CASA HOLDINGS,T:CASA,CASA.SI,T:CASA,CASA HOLDINGS,CASA HOLDINGS LIMITED,Consumer Discretionary
CDL HOSPITALITY TRUSTS,T:CDHO,CDLT.SI,T:CDHO,CDL HOSPITALITY TRUSTS,CDL HOSPITALITY TRUSTS,Real Estate
CDW HOLDING,T:CDWH,CDWH.SI,T:CDWH,CDW HOLDING,CDW HOLDING LIMITED,Technology
CENTURION,T:SUMM,CNCL.SI,T:SUMM,CENTURION,CENTURION CORP LIMITED,Real Estate
CH OFFSHORE,T:CHPF,CHOF.SI,T:CHPF,CH OFFSHORE,CH OFFSHORE LTD,Energy
CHALLENGER TECHS.,T:CHAL,CHAL.SI,T:CHAL,CHALLENGER TECHS.,CHALLENGER TECHNOLOGIES LIMITED,Technology
CHASEN HOLDINGS,T:REED,CHHL.SI,T:REED,CHASEN HOLDINGS,CHASEN HOLDINGS LTD,Industrials
CHEMICAL INDUSTRIES FAR EAST,T:CHMI,CHEM.SI,T:CHMI,CHEMICAL INDUSTRIES FAR EAST,CHEMICAL INDUSTRIES (FAR EAST) LTD,Basic Materials
CHINA AVIATION OIL,T:CHAV,CNAO.SI,T:CHAV,CHINA AVIATION OIL,CHINA AVIATION OIL (SINGAPORE) CORPORATION LTD,Energy
CHINA ENVIRONMENT,T:GATE,CHEN.SI,T:GATE,CHINA ENVIRONMENT SUSP - SUSP.02/08/17,CHINA ENVIRONMENT LTD,Utilities
CHINA EVERBRIGHT WATER,T:BIOT,CEWL.SI,T:BIOT,CHINA EVERBRIGHT WATER,CHINA EVERBRIGHT WATER LTD,Utilities
CHINA FISHERY GROUP,T:CFGL,CNFG.SI,T:CFGL,CHINA FISHERY GROUP SUSP - SUSP.01/02/16,CHINA FISHERY GROUP LIMITED,Consumer Staples
CHINA HAIDA,T:CMAT,CHHA.SI,T:CMAT,CHINA HAIDA SUSP - SUSP.10/04/20,CHINA HAIDA LIMITED,Basic Materials
CHINA INTERNATIONAL HOLDINGS,T:CHIN,CHNA.SI,T:CHIN,CHINA INTERNATIONAL HOLDINGS,CHINA INTERNATIONAL HOLDINGS LIMITED,Industrials
CHINA KANGDA FOOD,T:CKFC,CKFC.SI,T:CKFC,CHINA KANGDA FOOD,CHINA KANGDA FOOD COMPANY LTD,Consumer Staples
CHINA MINING INTL.,T:SUNH,CMIL.SI,T:SUNH,CHINA MINING INTL.,CHINA MINING INTERNATIONAL LIMITED,Real Estate
CHINA SHENSHAN ORCHARD HOLDINGS,T:TRMP,CHIS.SI,T:TRMP,CHINA SHENSHAN ORCHARD HOLDINGS,CHINA SHENSHAN ORCHARD HOLDINGS CO LTD,Consumer Staples
CHINA SUNSINE CHM.HDG.,T:CSCH,CHSN.SI,T:CSCH,CHINA SUNSINE CHM.HDG.,CHINA SUNSINE CHEMICAL HOLDINGS LIMITED.,Basic Materials
CHINA YUANBANG PR.HDG.,T:CYPH,CYBP.SI,T:CYPH,CHINA YUANBANG PR.HDG.,CHINA YUANBANG PROPERTY HOLDINGS LIMITED,Real Estate
CHIP ENG SENG CORPORATION,T:CHIP,CESE.SI,T:CHIP,CHIP ENG SENG CORPORATION,CHIP ENG SENG CORPORATION LIMITED,Real Estate
CHUAN HUP HOLDINGS,T:CHHH,CHHS.SI,T:CHHH,CHUAN HUP HOLDINGS,CHUAN HUP HOLDINGS LIMITED,Technology
CIVMEC,T:CMC,CIVM.SI,T:CMC,CIVMEC,CIVMEC LTD,Energy
COMBINE WILL INTL.HDG.,T:CWI,CWIHx.SI,T:CWI,COMBINE WILL INTL.HDG.,COMBINE WILL INTERNATIONAL HOLDINGS LIMITED,Industrials
CORDLIFE GROUP,T:COR,CORD.SI,T:COR,CORDLIFE GROUP,CORDLIFE GROUP LIMITED,Consumer Discretionary
CORTINA HDG.,T:CORT,CORT.SI,T:CORT,CORTINA HDG.,CORTINA HOLDINGS LTD,Consumer Discretionary
COSCO SHIPPING INTERNATIONAL,T:COSC,COSC.SI,T:COSC,COSCO SHIPPING INTERNATIONAL,COSCO SHIPPING INTERNATIONAL (SINGAPORE) CO LTD,Industrials
COSMOSTEEL HOLDINGS,T:COHO,COSM.SI,T:COHO,COSMOSTEEL HOLDINGS,COSMOSTEEL HOLDINGS LIMITED,Basic Materials
COURAGE INVESTMENT GROUP,T:COMG,COUA.SI,T:COMG,COURAGE INVESTMENT GROUP,COURAGE INVESTMENT GROUP LTD,Industrials
CREATIVE TECHNOLOGY,T:CREA,CREA.SI,T:CREA,CREATIVE TECHNOLOGY,CREATIVE TECHNOLOGY LIMITED,Technology
CREDIT BUREAU ASIA,T:CRBA,CRED.SI,T:CRBA,CREDIT BUREAU ASIA,CREDIT BUREAU ASIA LTD,Industrials
CROMWELL EUR.REIT. (SES) TST.SGD,T:CROM,CROM.SI,T:CROM,CROMWELL EUR.REIT. (SES) TST.SGD,CROMWELL EUROPEAN REAL ESTATE INVESTMENT TRUST,Real Estate
CSC HOLDINGS,T:CSC,CSCH.SI,T:CSC,CSC HOLDINGS,CSC HOLDINGS LIMITED,Industrials
CSE GLOBAL,T:CSEE,CSES.SI,T:CSEE,CSE GLOBAL,CSE GLOBAL LIMITED,Technology
DARCO WATER TECHS.,T:DARC,DRWT.SI,T:DARC,DARCO WATER TECHS.,DARCO WATER TECHNOLOGIES LIMITED,Industrials
DASIN RETAIL TRUST,T:DASI,DASI.SI,T:DASI,DASIN RETAIL TRUST,DASIN RETAIL TRUST,Real Estate
DATAPULSE TECHNOLOGY,T:DATA,DATA.SI,T:DATA,DATAPULSE TECHNOLOGY,DATAPULSE TECHNOLOGY LIMITED,Technology
DEBAO PROPERTY DEV.,T:DEBA,DPDL.SI,T:DEBA,DEBAO PROPERTY DEV. SUSP - SUSP.18/01/21,DEBAO PROPERTY DEVELOPMENT LIMITED,Real Estate
DEL MONTE PACIFIC,T:DELP,DMPL.SI,T:DELP,DEL MONTE PACIFIC,DEL MONTE PACIFIC LIMITED,Consumer Staples
DELFI,T:PETF,DELF.SI,T:PETF,DELFI,DELFI LTD,Consumer Staples
DESIGN STUDIO GROUP,T:DESI,DESS.SI,T:DESI,DESIGN STUDIO GROUP SUSP - SUSP.20/01/20,DESIGN STUDIO GROUP LTD,Consumer Discretionary
DRAGON GROUP INTL.,T:FLEX,DRGN.SI,T:FLEX,DRAGON GROUP INTL. SUSP - SUSP.11/05/18,DRAGON GROUP INTERNATIONAL LIMITED,Industrials
DUTECH HOLDINGS,T:DUHL,DTHL.SI,T:DUHL,DUTECH HOLDINGS SUSP - SUSP.17/08/21,DUTECH HOLDINGS LTD,Industrials
DUTY FREE INTERNATIONAL,T:ESMA,DUTY.SI,T:ESMA,DUTY FREE INTERNATIONAL,DUTY FREE INTERNATIONAL LIMITED,Industrials
